Date,Arrivals to Greek Islands,Departures to mainland Greece,Arrivals to fYRoM,Arrivals to Serbia,Arrivals to Croatia,Arrivals to Hungary,Arrivals to Slovenia,Arrivals to Austria
22/01/16,4176,3451,1030,1134,1599,47,1738,1885
23/01/16,1124,4397,1208,1064,1394,10,606,777
24/01/16,418,2706,2174,1895,946,15,1564,1366
25/01/16,1295,819,2836,2827,1847,5,1746,1450
26/01/16,2808,1887,2908,3091,1309,4,326,1867
27/01/16,2488,1098,1402,1695,3256,36,2935,2670
28/01/16,3180,1046,1837,1940,3565,51,2719,2340
29/01/16,2076,40,2292,2167,1843,38,3416,3121
30/01/16,2623,53,931,1540,2641,38,2556,2351
31/01/16,2105,5342,0,103,2098,38,1249,2579
01/02/16,1244,5783,908,660,0,31,716,1367
02/02/16,2368,1878,1121,966,822,69,765,690
03/02/16,3299,3829,2558,2825,881,46,841,937
04/02/16,565,1436,2173,2653,1836,31,1733,1026
05/02/16,38,0,3259,2694,1750,40,1713,2235
06/02/16,7,578,1780,1901,3510,40,2580,2252
07/02/16,608,1097,2838,2739,2658,40,2694,2737
08/02/16,2418,1259,2392,2563,2736,48,2582,2490
09/02/16,3676,2283,2441,2379,2764,72,2805,3314
10/02/16,1071,793,1817,1758,2544,104,2637,2968
11/02/16,502,2756,2540,2636,1716,54,2547,2731
12/02/16,123,496,2115,1923,2635,39,1774,2378
13/02/16,186,161,1019,1699,2595,66,2576,2781
14/02/16,51,724,452,641,1749,51,2660,2301
15/02/16,181,65,542,691,512,119,516,1651
16/02/16,1783,1024,234,443,701,93,715,1143
17/02/16,4611,1772,668,345,769,34,769,181
18/02/16,4824,3118,1200,1117,0,73,0,817
19/02/16,2440,1731,799,713,408,113,408,50
20/02/16,3772,5738,209,580,834,151,828,453
21/02/16,1618,3180,774,476,630,237,623,899
22/02/16,2545,3002,714,1595,0,103,0,744
23/02/16,3474,1927,382,106,507,112,0,111
24/02/16,2044,3086,551,1,0,166,0,75
25/02/16,1675,2468,168,475,841,76,478,583
26/02/16,2972,649,20,0,250,140,254,874
27/02/16,1355,2525,310,158,385,111,382,321
28/02/16,3651,3234,92,431,358,60,0,447
29/02/16,2072,920,208,69,0,78,0,487
01/03/16,609,1107,30,372,436,70,0,118
02/03/16,2162,2073,457,16,476,167,479,644
03/03/16,2569,1061,269,428,0,107,477,588
04/03/16,332,1035,177,218,410,248,409,114
05/03/16,630,1444,293,115,253,89,253,500
06/03/16,2480,980,261,236,0,72,253,402
07/03/16,728,1171,127,14,0,96,0,153
08/03/16,811,922,0,0,0,127,0,171
09/03/16,3340,1169,0,3,0,27,0,134
10/03/16,835,1381,0,0,0,20,0,172
11/03/16,232,810,0,0,0,112,0,132
12/03/16,2578,1326,0,35,0,195,0,116
13/03/16,1418,831,0,N/A,0,N/A,0,171
14/03/16,301,693,0,0,0,51,0,211
